"","X","participant","text","tier_name","word","duration","vot","relative_vot","language","vot_ms","vowel","sp_eng_p","fr_sp_p","fr_eng_p","relative_vot_z"
"30",175,314845,"k","MAU","quiso",0.490350660160735,0.033048392652124,0.0673974674395073,"spanish",33.048392652124,"i",0.00568147051683962,0.0254963472976478,0.547701269369506,-0.450458741454421
"31",176,314845,"k","MAU","queja",0.438930385332951,0.0331948837543055,0.0756267619274648,"spanish",33.1948837543055,"e",0.00568147051683962,0.0254963472976478,0.547701269369506,-0.313960031613436
"32",177,314845,"p","MAU","pena",0.378300243972446,0.0147663030998851,0.0390332899202695,"spanish",14.7663030998851,"e",0.00568147051683962,0.0254963472976478,0.547701269369506,-0.920933293403229
"33",178,314845,"p","MAU","pato",0.423787858783008,0.0137878587830083,0.03253481310815,"spanish",13.7878587830083,"a",0.00568147051683962,0.0254963472976478,0.547701269369506,-1.02872305619321
"34",179,314845,"k","MAU","cama",0.437651029707233,0.0276510297072332,0.0631805430133007,"spanish",27.6510297072332,"a",0.00568147051683962,0.0254963472976478,0.547701269369506,-0.52040456056643
"35",180,314845,"t","MAU","tipping",0.571352371555683,0.0540552167049368,0.0946092453554623,"english",54.0552167049368,"i",0.00568147051683962,0.0254963472976478,0.547701269369506,0.000901041992719471
"36",181,314845,"t","MAU","teller",0.500274827784156,0.0630497703788749,0.126030267519432,"english",63.0497703788749,"e",0.00568147051683962,0.0254963472976478,0.547701269369506,0.52207925399414
"37",182,314845,"p","MAU","penny",0.47527276119403,0.0292982204362802,0.0616450653781928,"english",29.2982204362802,"e",0.00568147051683962,0.0254963472976478,0.547701269369506,-0.545873416552642
"38",183,314845,"p","MAU","parrot",0.585754861578107,0.032202341804762,0.0549757994632845,"english",32.202341804762,"a",0.00568147051683962,0.0254963472976478,0.547701269369506,-0.656496045783326
"39",184,314845,"k","MAU","kitten",0.570768244115959,0.0791051951779563,0.138594247303438,"english",79.1051951779563,"i",0.00568147051683962,0.0254963472976478,0.547701269369506,0.730477073940267
"40",185,314845,"k","MAU","kennel",0.543770163605052,0.0737701636050516,0.135664235632156,"english",73.7701636050516,"e",0.00568147051683962,0.0254963472976478,0.547701269369506,0.681877183204277
"41",186,314845,"k","MAU","cabbage",0.656231214121699,0.0685578358208955,0.10447207378371,"english",68.5578358208955,"a",0.00568147051683962,0.0254963472976478,0.547701269369506,0.164495060630511
"42",187,314845,"t","MAU","tir",0.410210659443169,0.0533227611940299,0.129988726442194,"french",53.3227611940299,"i",0.00568147051683962,0.0254963472976478,0.547701269369506,0.58773792457717
"43",188,314845,"t","MAU","terre",0.413956597165255,0.0450411482880055,0.108806451199097,"french",45.0411482880055,"e",0.00568147051683962,0.0254963472976478,0.547701269369506,0.236389063941488
"44",189,314845,"t","MAU","tasse",0.605283904994259,0.0436543484500574,0.0721221035118578,"french",43.6543484500574,"a",0.00568147051683962,0.0254963472976478,0.547701269369506,-0.372091546151378
"45",190,314845,"k","MAU","quitte",0.63031165839929,0.0773180037313435,0.122666307533795,"french",77.3180037313435,"i",0.00568147051683962,0.0254963472976478,0.547701269369506,0.466281494092839
"46",191,314845,"k","MAU","quelle",0.598775046641791,0.0723666044776121,0.120857749305816,"french",72.3666044776121,"e",0.00568147051683962,0.0254963472976478,0.547701269369506,0.436283070151068
"47",192,314845,"p","MAU","pile",0.668192711914446,0.0663104625761974,0.0992385301333363,"french",66.3104625761974,"i",0.00568147051683962,0.0254963472976478,0.547701269369506,0.0776866523012338
"48",193,314845,"p","MAU","pere",0.620629682118255,0.0331069890929965,0.0533441922725962,"french",33.1069890929965,"e",0.00568147051683962,0.0254963472976478,0.547701269369506,-0.683559395724458
